class,rdfs:label,rdfs:comment
ns1:68,"""笙""",
bf:Audio,"""录音作品""",
bf:MovingImage,"""视频作品""",
bf:MusicInstrument,"""乐器""",
bf:NotatedMusic,"""乐谱""","""乐谱、曲谱等"""
bf:Place,"""分布地域"";""地域"";""地点""",
bf:StillImage,"""图片""","""包括幻灯片"""
bf:Text,"""文字文献""",
event:Event,"""事件""",
mo:Composer,"""作曲者""",
mo:Conductor,"""指挥家""",
mo:Instrument,"""乐器""",
mo:MusicGroup,"""音乐组织""",
mo:SoloMusicArtist,"""音乐人""",
places:City,"""市级行政单位""",
places:County,"""县、区级行政单位""","""包括“……旗”等"""
places:Province,"""省级行政单位""",
places:Town,"""镇级行政单位""",
places:Township,"""乡级行政单位""",
places:Village,"""村、社区级行政单位""","""村级也包括寨"""
cidoc-crm:E55_Type,"""文化遗产的类型""",
kanzaki:Player,"""演奏家"";""演奏者""",
kanzaki:Singer,"""演唱家"";""演唱者""",
foaf:Agent,"""施动者""",
foaf:Person,"""人""",
dbpedia-owl:EthnicGroup,"""民族(或族群)""","""包括中华民族、外国或外国民族（如东亚、东南亚等各民族）"""
ctm:BambooFlute,"""笛""",
ctm:BlowPipeInstrument,"""吹管类乐器""",
ctm:BowedStringInstrument,"""拉弦类乐器""",
ctm:BuddhistMusic,"""佛教音乐""",
ctm:ChinaJurisdiction,"""中华人民共和国的行政管辖范围""",
ctm:ChineseInstrument,"""中华民族乐器""","""主要指中国传统民族民间器乐中使用的乐器"""
ctm:ChineseNation,"""中华民族""","""包括汉族、55个少数民族及其支系"""
ctm:ChristianMusic,"""基督教音乐""",
ctm:ChuidaMusic,"""吹打乐"";""吹打系乐种"";""民族器乐-吹打乐""",
ctm:CourtMusic,"""宫廷音乐""",
ctm:DrumAndCymbalSystem,"""民族器乐-鼓钹系"";""锣鼓乐"";""鼓钹系乐种""","""以鼓、锣、钹类乐器为乐队组合核心的乐种体系"""
ctm:EventOfRecording,"""采录事项""",
ctm:FolkMusic,"""民间音乐""",
ctm:FolkMusicOrganization,"""民间音乐组织""","""或者也可以称其为乐社、乐种班社"""
ctm:FolkMusician,"""民间乐人"";""民间艺人""","""相当一部分民间乐人都是非遗传承人"""
ctm:FolkSong,"""民歌""","""全称民间歌曲，主要包括劳动号子、山歌、小调和长歌"""
ctm:ForeignNation,"""外国或外国民族""","""其“外国民族”是指几乎不在中国国内存在、有分布的民族"""
ctm:GongCheMusicScore,"""工尺谱""",
ctm:Guan,"""管"";""管子""",
ctm:GudiSystem,"""民族器乐-鼓笛系"";""鼓笛系乐种""",
ctm:InstrumentalSolo,"""民族器乐独奏""",
ctm:IslamicMusic,"""伊斯兰教音乐""",
ctm:LiteratiMusic,"""文人音乐""","""文人音乐，指的是历代由具有一定文化修养的知识阶层人士创作或参与演奏、享用的传统音乐。主要包括 ：古琴音乐、词调音乐和其他文人雅集型的音乐"""
ctm:LiveMusicActivities,"""现场音乐表演活动""","""这里也可能会包括一些音乐会，但其强调的是原生态环境下的音乐活动的特征，而非音乐厅、沙龙式的仪式感。强调抓拍而非摆拍"""
ctm:MusicCeremony,"""仪式音乐"";""音乐仪式""",
ctm:MusicOfTalkingAndSinging,"""说唱音乐""","""是民间音乐中的说唱音乐的简称，又简称说唱乐。若从形态上进行分类的话，说唱音乐其实可以分为两个大类，即牌子曲类和鼓书类。这两类其实对应说唱文学中的乐曲系和诗赞系"""
ctm:MusicType,"""乐种"";""音乐类型(乐种)""",
ctm:MusicType_YueShengXi,"""乐声系乐种""","""以器乐与声乐两部分组成的乐种体系"""
ctm:MusicType_YueWuXi,"""乐舞系乐种""","""宫廷乐舞有可能纳入乐舞系乐种的范畴"""
ctm:Musicologist,"""音乐学者""",
ctm:NationalInstrumentalMusic,"""民族器乐""",
ctm:NumberedMusicalNotation,"""简谱""",
ctm:OralHistory,"""口述史""",
ctm:OrientalMusicalInstrument,"""东方乐器""",
ctm:PercussionMusicalInstrument,"""打击类乐器""","""打击乐器，可细分为“锣、鼓、钹（铙钹类，或镲类）、梆板类”"""
ctm:PieceWithPerformance,"""曲目"";""曲目的演出"";""演出的曲目""","""对应二次创作，如以具体的表演行为表达出的作品"""
ctm:PluckedStringInstrument,"""弹弦类乐器""",
ctm:Portrait,"""人物照片""",
ctm:ReligiousMusic,"""宗教音乐""","""也包括祭祀音乐"""
ctm:ReshotMaterialObject,"""翻拍的实物""",
ctm:ReshotMusicScore,"""翻拍的乐谱""",
ctm:ScannedProgramList,"""扫描的节目单""",
ctm:Scene,"""场景""",
ctm:ShengPipeAndGuanSystem,"""民族器乐-笙管系"";""笙管系乐种""",
ctm:SingingAndDancingMusic,"""歌舞音乐""",
ctm:SizhuMusic,"""丝竹乐"";""丝竹系乐种"";""民族器乐-丝竹乐""",
ctm:SpecialIndependentResource,"""特藏独立资源_作品"";""特藏资源"";""馆藏作品""",
ctm:StagedPhotography,"""摆拍""",
ctm:Staves,"""五线谱""",
ctm:Surnay,"""唢呐""",
ctm:SurnaySystem,"""唢呐系乐种"";""民族器乐-唢呐系""",
ctm:TaoistMusic,"""道教音乐""",
ctm:Town,"""乡、镇级行政单位(含城市中的街道)""",
ctm:TraditionalMusicBranch,"""传统音乐支脉""","""中国传统音乐的支脉、分支等等"""
ctm:TraditionalOperaMusic,"""戏曲音乐""","""也是剧种或声腔"""
ctm:Video-AcademicConference,"""视频-学术会议""","""含研讨会、表彰会、座谈会、追悼会、追思会、发布会等"""
ctm:Video-InARecordingStudio,"""视频-棚内录像""","""主要指在录音棚对音乐表演活动的记录"""
ctm:Video-Interview,"""视频-访谈""",
ctm:Video-InterviewOrFieldTrip,"""视频-采风或实地考察""","""对于某些影像内容，如果既不是音乐的摆拍，也不是音乐的现场记录，而是诸如随意采集的生活中的影像资料、猎奇等，也可直接用此标签标注，是为“实地”考察"""
ctm:Video-LectureOrClassEtc,"""视频-讲座或课堂等""","""包括课堂活动、学位答辩、考试、测试，甚至包括专题片等"""
ctm:Video-MusicFest_Concert_Contest_Etc,"""视频-音乐节、音乐会、比赛等""","""还包括展览、（汇报）演出、广场演出等活动，多集中于城市、音乐厅，较“正式”地发生。它们的共性是，面对大众、观众，或以小型“沙龙”的方式展现"""
ctm:WindAndDrumMusic,"""鼓吹乐""",
ctm:XiansuoMusic,"""弦索系乐种"";""民族器乐-弦索乐""",
